finishing_position,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,win_odds,race_course,race_class,race_distance,track_condition,race_name,track,Season,recent_6_runs,recent_ave_rank,jockey_ave_rank,track_condition_id,race_course_id,track_id,season_id
3,PACKING DRAGON,T230,M Barzalona,P F Yiu,117,1202,12,6.2,Happy Valley,Class 2,1800,GOOD TO FIRM,AUSTRALIA HANDICAP,"TURF - ""B"" COURSE",Winter,3/1/1/3/3/1,3.75,5.111111111111111,2,1,4,2
3,BEST HOPE,S102,N Callan,C H Yip,129,1100,12,6.3,Happy Valley,Class 4 (Special Condition),1650,GOOD TO FIRM,HO CHUNG RIVER HANDICAP,"TURF - ""B"" COURSE",Spring,3/2/4/8/8,5.0,6.066800267201069,2,1,4,1
12,MEGA CHAMPION,M149,K C Leung,A S Cruz,115,1051,6,31,Sha Tin,Class 3,1400,GOOD TO FIRM,GARDEN ROAD HANDICAP,"TURF - ""A"" COURSE",Autumn,12,12.0,6.729086722947045,2,0,1,3
7,ALL THE BEST,S169,O Doleuze,R Gibson,122,1115,6,18,Happy Valley,Class 3,1200,GOOD,CONNAUGHT HANDICAP,"TURF - ""B"" COURSE",Winter,7,7.0,6.394838709677419,1,1,4,2
10,INTELLECTUAL GLIDE,S124,K C Leung,Y S Tsui,116,962,10,25,Sha Tin,Class 5,1600,GOOD TO FIRM,WONG MA TEI HANDICAP,"TURF - ""A+3"" COURSE",Summer,10/11/7/7/12/10,9.6,6.729086722947045,2,0,7,4
9,GENTLEMEN,V060,M F Poon,P F Yiu,115,1093,9,4.6,Sha Tin,Class 5,1650,GOOD,UNCOMPROMISING INTEGRITY HANDICAP,ALL WEATHER TRACK,Summer,9/1/7/6/7/6,6.9375,5.076923076923077,1,0,5,4
3,WISKY,T368,J Moreira,J Size,129,1189,1,4.3,Sha Tin,Class 4,1400,GOOD,PANASONIC nanoe HAIR DRYER HANDICAP,"TURF - ""A+3"" COURSE",Autumn,3/6/1/10/5/4,5.0,4.073019161056448,1,0,7,3
9,EXTREMELY FUN,T024,N Callan,L Ho,129,1183,9,12,Happy Valley,Class 3,1200,GOOD TO FIRM,ARC DE TRIOMPHE CHAMPIONS HANDICAP,"TURF - ""B"" COURSE",Spring,9/4/5/8/1/12,5.666666666666667,6.066800267201069,2,1,4,1
8,FLYING KEEPER,M191,C K Tong,C Fownes,122,1071,11,36,Sha Tin,Class 5,1200,GOOD TO FIRM,TIM MEI HANDICAP,"TURF - ""A"" COURSE",Autumn,8,8.0,8.803532008830022,2,0,1,3
10,BLAZING PASS,T108,K Teetan,A S Cruz,127,1067,10,28,Sha Tin,Class 4,1800,GOOD TO YIELDING,MIRACULOUS HANDICAP,"TURF - ""C"" COURSE",Summer,10/12/8/4/2/11,5.620689655172414,6.2772397094431,3,0,2,4
7,GOLDEN GLORY,T076,T H So,D E Ferraris,113,1041,11,99,Sha Tin,Class 3,1000,GOOD TO FIRM,THE YAN OI TONG CUP (HANDICAP),"TURF - ""C"" COURSE",Winter,7,7.0,7.666300768386389,2,0,2,2
12,GENERAL O'REILLY,A084,C Y Ho,Y S Tsui,121,1093,7,99,Sha Tin,Class 4,1000,GOOD,CITIGOLD PRIVATE CLIENT HANDICAP,"TURF - ""B"" COURSE",Winter,12/12/12,12.0,7.03235082674335,1,0,4,2
2,TRIUMPHANT LIGHT,T224,K K Chiong,D E Ferraris,119,1054,9,4.8,Sha Tin,Class 4,1600,GOOD TO FIRM,KOWLOON PEAK HANDICAP,"TURF - ""B+2"" COURSE",Winter,2/1/8/3/7/11,6.1,6.400593471810089,2,0,6,2
10,TRAVEL RENYI,S394,N Callan,R Gibson,127,1067,1,14,Happy Valley,Class 2,1200,GOOD TO YIELDING,YAU OI HANDICAP,"TURF - ""B"" COURSE",Autumn,10/11/5/4/1/1,4.642857142857143,6.066800267201069,3,1,4,3
1,PACKING DRAGON,T230,K K Chiong,P F Yiu,126,1202,6,3.1,Happy Valley,Class 3,1800,GOOD,SUTHERLAND HANDICAP,"TURF - ""B"" COURSE",Autumn,1/1/3/3/1/9,3.8,6.400593471810089,1,1,4,3
5,GLORY BOY,S273,R Fourie,A Schutz,127,1019,10,45,Happy Valley,Class 5,1000,GOOD,WA MEI SHAN HANDICAP,"TURF - ""C+3"" COURSE",Autumn,5/10/8/8/8/11,8.384615384615385,6.463768115942029,1,1,3,3
11,RISING POWER,N294,W M Lai,C W Chang,118,1064,4,23,Sha Tin,Class 4,1650,GOOD,SPORTING EXCHANGE HANDICAP,ALL WEATHER TRACK,Summer,11/3/1/2/5/9,4.333333333333333,8.396103896103897,1,0,5,4
7,JOY TOGETHER,P082,A Suborics,C H Yip,119,1068,3,11,Happy Valley,Class 4,1200,GOOD,THE HONG KONG FOOTBALL CLUB CENTENARY CHALLENGE CUP (HANDICAP),"TURF - ""A"" COURSE",Spring,7/5/10/10/11/6,8.75,7.257396449704142,1,1,1,1
1,CONTENTMENT,S391,J Moreira,J Size,120,1146,11,2,Sha Tin,Hong Kong Group Two,1600,GOOD TO FIRM,THE ORIENTAL WATCH SHA TIN TROPHY (HANDICAP),"TURF - ""A"" COURSE",Autumn,1/1/1/1/9/1,2.3636363636363638,4.073019161056448,2,0,1,3
2,FOREVER FUN,S130,B Prebble,W Y So,125,1027,3,9.5,Happy Valley,Class 5,1000,GOOD,SOUTH BAY HANDICAP,"TURF - ""A"" COURSE",Autumn,2/12/10/9/7/12,8.3,5.825347758887172,1,1,1,3
11,IRON BOY,V071,C K Tong,K W Lui,117,1182,3,99,Sha Tin,Class 3,1000,GOOD,CITI ULTIMA CARD HANDICAP,"TURF - ""B"" COURSE",Winter,11/10/9,10.0,8.803532008830022,1,0,4,2
9,HANG'S DECISION,T262,B Prebble,W Y So,123,1093,7,16,Happy Valley,Class 4,1200,GOOD TO YIELDING,PINE HANDICAP,"TURF - ""A"" COURSE",Autumn,9/8,8.5,5.825347758887172,3,1,1,3
4,CHARITY JOY,P278,N Rawiller,C S Shum,127,1142,14,14,Sha Tin,Class 2,1000,GOOD TO FIRM,YEUNG UK HANDICAP,"TURF - ""C+3"" COURSE",Autumn,4/5/6/10/4/3,5.368421052631579,6.083734359961501,2,0,3,3
8,FANTASTICLIFE,S320,K Teetan,S Woods,132,1126,2,8.8,Sha Tin,Class 5,1400,GOOD,AUDEMARS PIGUET ROYAL OAK OFFSHORE HANDICAP,"TURF - ""A"" COURSE",Spring,8/7/11/11/4/8,7.25,6.2772397094431,1,0,1,1
6,SUNNY ORIENT,V302,C Schofield,A T Millard,127,1097,9,5.6,Happy Valley,Class 4,1200,GOOD TO FIRM,LANCASHIRE HANDICAP,"TURF - ""A"" COURSE",Spring,6/2/3/7/8/6,5.25,6.29047619047619,2,1,1,1
12,HAPPY YEAH YEAH,M085,K Teetan,A Lee,114,1158,2,16,Happy Valley,Class 2,1200,GOOD,LUGER HANDICAP,"TURF - ""A"" COURSE",Summer,12/1/3/12/7/10,7.666666666666667,6.2772397094431,1,1,1,4
7,SATONO ALADDIN,V613,Y Kawada,Y Ikee,126,1161,8,12,Sha Tin,Group One,1600,GOOD,THE LONGINES HONG KONG MILE,"TURF - ""A"" COURSE",Winter,7/11,9.0,7.0,1,0,1,2
3,BEST HOPE,S102,Z Purton,C H Yip,129,1084,4,2.3,Happy Valley,Class 4,1650,GOOD TO FIRM,NAM SHAN HANDICAP,"TURF - ""B"" COURSE",Summer,3/3/2/4/8/8,4.666666666666667,4.934573444515715,2,1,4,4
8,GLORY SUNSHINE,S313,H N Wong,W Y So,114,1107,3,6.6,Happy Valley,Class 5,1650,GOOD,BIRCH HANDICAP,"TURF - ""B"" COURSE",Autumn,8/8/4/5/4/4,6.84,7.104551045510455,1,1,4,3
10,PRESIDENT LINCOLN,N267,K Teetan,C S Shum,130,1184,10,44,Sha Tin,Class 3,1600,GOOD TO FIRM,ZHUHAI HANDICAP,"TURF - ""C"" COURSE",Autumn,10/9/8/2/9/1,6.5,6.2772397094431,2,0,2,3
11,GOOD SMILE,K360,H W Lai,L Ho,117,1183,6,43,Sha Tin,Class 5,1200,GOOD TO FIRM,TING KAU HANDICAP,"TURF - ""A+3"" COURSE",Autumn,11,11.0,7.4045275590551185,2,0,7,3
10,TARZAN I AM,P299,C Y Lui,D Cruz,115,1263,2,8.5,Happy Valley,Class 3,1200,GOOD TO FIRM,TAI PO HANDICAP,"TURF - ""B"" COURSE",Winter,10/6/9/4/11/12,8.666666666666666,6.958904109589041,2,1,4,2
